current,filename,current_subfolder,score_5_plex,score_6_plex,verdict
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_SoftCosts_Styled (1).xlsx,Allendale_Equity_SoftCosts_Styled (1).xlsx,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 6408 Cost Overview - FINAL.xlsx,Allendale 6408 Cost Overview - FINAL.xlsx,_NeedsReview,3,1,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6Plex_Full_Partner_Model.xlsx,Allendale_6Plex_Full_Partner_Model.xlsx,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investment_Summary.docx,Allendale_Investment_Summary.docx,_NeedsReview,0,4,Allendale 6-Plex (10646 61 Ave)
"/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/24-48-Allendale Five-Plex- Progress April 14, 2025.pdf","24-48-Allendale Five-Plex- Progress April 14, 2025.pdf",_NeedsReview,2,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale6408 106 Street NW Title (1).pdf,Allendale6408 106 Street NW Title (1).pdf,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Master_Cost_Summary_v2.xlsx,Allendale_Master_Cost_Summary_v2.xlsx,_NeedsReview,2,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS.xlsx,Allendale_QS.xlsx,_NeedsReview,2,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/a7fcf722-3aba-4270-8642-ad13438bb1f9%2FAllendale_61__Credit_Facility_Note_GSA_Share_Pledge_(Dec_5_2025).pdf,a7fcf722-3aba-4270-8642-ad13438bb1f9%2FAllendale_61__Credit_Facility_Note_GSA_Share_Pledge_(Dec_5_2025).pdf,_NeedsReview,0,2,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/15313 6-Unit Complex 10646 61 Ave Allendale DRAFT.pdf,15313 6-Unit Complex 10646 61 Ave Allendale DRAFT.pdf,_NeedsReview,0,3,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Lender_Final.xlsx,Allendale_Lender_Final.xlsx,_NeedsReview,3,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Partner_Meeting_Pack_FINAL.docx,Allendale_Partner_Meeting_Pack_FINAL.docx,_NeedsReview,0,1,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Deal_Summary.xlsx,Allendale_Deal_Summary.xlsx,_NeedsReview,0,3,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_SoftCosts_Model.xlsx,Allendale_Equity_SoftCosts_Model.xlsx,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Summary 10646 61 Ave.docx,Allendale_Summary 10646 61 Ave.docx,_NeedsReview,0,2,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 61 INC. GSA - signed.pdf,Allendale 61 INC. GSA - signed.pdf,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Loan_Advance_BTY.xlsx,Allendale_Loan_Advance_BTY.xlsx,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 61 INC. GSA .pdf,Allendale 61 INC. GSA .pdf,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_CMHC_Refi_Scenarios.pdf,Allendale_CMHC_Refi_Scenarios.pdf,_NeedsReview,0,2,Allendale 6-Plex (10646 61 Ave)
